group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
C insertion_sort 100,,,,,484405.0,ns,5045
C insertion_sort 100,,,,,962858.0,ns,10090
C insertion_sort 100,,,,,1457505.0,ns,15135
C insertion_sort 100,,,,,1942410.0,ns,20180
C insertion_sort 100,,,,,2450242.0,ns,25225
C insertion_sort 100,,,,,2997530.0,ns,30270
C insertion_sort 100,,,,,3493901.0,ns,35315
C insertion_sort 100,,,,,3999003.0,ns,40360
C insertion_sort 100,,,,,4478658.0,ns,45405
C insertion_sort 100,,,,,4983956.0,ns,50450
C insertion_sort 100,,,,,5453620.0,ns,55495
C insertion_sort 100,,,,,5944130.0,ns,60540
C insertion_sort 100,,,,,6480842.0,ns,65585
C insertion_sort 100,,,,,6971663.0,ns,70630
C insertion_sort 100,,,,,7417281.0,ns,75675
C insertion_sort 100,,,,,7929964.0,ns,80720
C insertion_sort 100,,,,,8445497.0,ns,85765
C insertion_sort 100,,,,,8916610.0,ns,90810
C insertion_sort 100,,,,,9439585.0,ns,95855
C insertion_sort 100,,,,,9924769.0,ns,100900
C insertion_sort 100,,,,,10417729.0,ns,105945
C insertion_sort 100,,,,,10902982.0,ns,110990
C insertion_sort 100,,,,,11486835.0,ns,116035
C insertion_sort 100,,,,,11941575.0,ns,121080
C insertion_sort 100,,,,,12451402.0,ns,126125
C insertion_sort 100,,,,,12980673.0,ns,131170
C insertion_sort 100,,,,,13349123.0,ns,136215
C insertion_sort 100,,,,,13912916.0,ns,141260
C insertion_sort 100,,,,,14458842.0,ns,146305
C insertion_sort 100,,,,,14924803.0,ns,151350
C insertion_sort 100,,,,,15393121.0,ns,156395
C insertion_sort 100,,,,,15863772.0,ns,161440
C insertion_sort 100,,,,,16439941.0,ns,166485
C insertion_sort 100,,,,,16871651.0,ns,171530
C insertion_sort 100,,,,,17451237.0,ns,176575
C insertion_sort 100,,,,,17896487.0,ns,181620
C insertion_sort 100,,,,,18378679.0,ns,186665
C insertion_sort 100,,,,,18888331.0,ns,191710
C insertion_sort 100,,,,,19351215.0,ns,196755
C insertion_sort 100,,,,,19850379.0,ns,201800
C insertion_sort 100,,,,,20354060.0,ns,206845
C insertion_sort 100,,,,,20832644.0,ns,211890
C insertion_sort 100,,,,,21373159.0,ns,216935
C insertion_sort 100,,,,,21893979.0,ns,221980
C insertion_sort 100,,,,,22417555.0,ns,227025
C insertion_sort 100,,,,,23114129.0,ns,232070
C insertion_sort 100,,,,,23269663.0,ns,237115
C insertion_sort 100,,,,,23841501.0,ns,242160
C insertion_sort 100,,,,,24228078.0,ns,247205
C insertion_sort 100,,,,,24908440.0,ns,252250
C insertion_sort 100,,,,,25408573.0,ns,257295
C insertion_sort 100,,,,,25824036.0,ns,262340
C insertion_sort 100,,,,,26248004.0,ns,267385
C insertion_sort 100,,,,,26732346.0,ns,272430
C insertion_sort 100,,,,,27294339.0,ns,277475
C insertion_sort 100,,,,,27813681.0,ns,282520
C insertion_sort 100,,,,,28366976.0,ns,287565
C insertion_sort 100,,,,,28838325.0,ns,292610
C insertion_sort 100,,,,,29189382.0,ns,297655
C insertion_sort 100,,,,,29752507.0,ns,302700
C insertion_sort 100,,,,,30248743.0,ns,307745
C insertion_sort 100,,,,,30792234.0,ns,312790
C insertion_sort 100,,,,,31301189.0,ns,317835
C insertion_sort 100,,,,,31726061.0,ns,322880
C insertion_sort 100,,,,,32373238.0,ns,327925
C insertion_sort 100,,,,,32656435.0,ns,332970
C insertion_sort 100,,,,,33300806.0,ns,338015
C insertion_sort 100,,,,,33774246.0,ns,343060
C insertion_sort 100,,,,,34179857.0,ns,348105
C insertion_sort 100,,,,,34744497.0,ns,353150
C insertion_sort 100,,,,,35187867.0,ns,358195
C insertion_sort 100,,,,,35792601.0,ns,363240
C insertion_sort 100,,,,,36348761.0,ns,368285
C insertion_sort 100,,,,,36757354.0,ns,373330
C insertion_sort 100,,,,,37176858.0,ns,378375
C insertion_sort 100,,,,,37591362.0,ns,383420
C insertion_sort 100,,,,,38226966.0,ns,388465
C insertion_sort 100,,,,,38650431.0,ns,393510
C insertion_sort 100,,,,,39171568.0,ns,398555
C insertion_sort 100,,,,,39873766.0,ns,403600
C insertion_sort 100,,,,,40249507.0,ns,408645
C insertion_sort 100,,,,,40619264.0,ns,413690
C insertion_sort 100,,,,,41297086.0,ns,418735
C insertion_sort 100,,,,,41779222.0,ns,423780
C insertion_sort 100,,,,,42278176.0,ns,428825
C insertion_sort 100,,,,,42602097.0,ns,433870
C insertion_sort 100,,,,,48397478.0,ns,438915
C insertion_sort 100,,,,,50189437.0,ns,443960
C insertion_sort 100,,,,,46266434.0,ns,449005
C insertion_sort 100,,,,,44793188.0,ns,454050
C insertion_sort 100,,,,,45146229.0,ns,459095
C insertion_sort 100,,,,,45989159.0,ns,464140
C insertion_sort 100,,,,,46468129.0,ns,469185
C insertion_sort 100,,,,,46827179.0,ns,474230
C insertion_sort 100,,,,,47303221.0,ns,479275
C insertion_sort 100,,,,,47602773.0,ns,484320
C insertion_sort 100,,,,,48049150.0,ns,489365
C insertion_sort 100,,,,,48599026.0,ns,494410
C insertion_sort 100,,,,,49170601.0,ns,499455
C insertion_sort 100,,,,,49831935.0,ns,504500
