group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
C insertion_sort 1000,,,,,791088.0,ns,344
C insertion_sort 1000,,,,,1572068.0,ns,688
C insertion_sort 1000,,,,,2353842.0,ns,1032
C insertion_sort 1000,,,,,3111307.0,ns,1376
C insertion_sort 1000,,,,,3942560.0,ns,1720
C insertion_sort 1000,,,,,4720915.0,ns,2064
C insertion_sort 1000,,,,,5513543.0,ns,2408
C insertion_sort 1000,,,,,6279416.0,ns,2752
C insertion_sort 1000,,,,,7078869.0,ns,3096
C insertion_sort 1000,,,,,7846321.0,ns,3440
C insertion_sort 1000,,,,,8635828.0,ns,3784
C insertion_sort 1000,,,,,9370373.0,ns,4128
C insertion_sort 1000,,,,,10254831.0,ns,4472
C insertion_sort 1000,,,,,10952826.0,ns,4816
C insertion_sort 1000,,,,,11788612.0,ns,5160
C insertion_sort 1000,,,,,12483344.0,ns,5504
C insertion_sort 1000,,,,,13238216.0,ns,5848
C insertion_sort 1000,,,,,14149965.0,ns,6192
C insertion_sort 1000,,,,,14939915.0,ns,6536
C insertion_sort 1000,,,,,15604543.0,ns,6880
C insertion_sort 1000,,,,,16553056.0,ns,7224
C insertion_sort 1000,,,,,17297495.0,ns,7568
C insertion_sort 1000,,,,,17938278.0,ns,7912
C insertion_sort 1000,,,,,18849400.0,ns,8256
C insertion_sort 1000,,,,,19660049.0,ns,8600
C insertion_sort 1000,,,,,20353988.0,ns,8944
C insertion_sort 1000,,,,,21145068.0,ns,9288
C insertion_sort 1000,,,,,21976891.0,ns,9632
C insertion_sort 1000,,,,,22934617.0,ns,9976
C insertion_sort 1000,,,,,23606326.0,ns,10320
C insertion_sort 1000,,,,,24290211.0,ns,10664
C insertion_sort 1000,,,,,24761633.0,ns,11008
C insertion_sort 1000,,,,,25878466.0,ns,11352
C insertion_sort 1000,,,,,26591086.0,ns,11696
C insertion_sort 1000,,,,,27641463.0,ns,12040
C insertion_sort 1000,,,,,28266542.0,ns,12384
C insertion_sort 1000,,,,,29077901.0,ns,12728
C insertion_sort 1000,,,,,29972458.0,ns,13072
C insertion_sort 1000,,,,,30587135.0,ns,13416
C insertion_sort 1000,,,,,31488498.0,ns,13760
C insertion_sort 1000,,,,,32458154.0,ns,14104
C insertion_sort 1000,,,,,33096616.0,ns,14448
C insertion_sort 1000,,,,,33632209.0,ns,14792
C insertion_sort 1000,,,,,34612218.0,ns,15136
C insertion_sort 1000,,,,,35334119.0,ns,15480
C insertion_sort 1000,,,,,36292190.0,ns,15824
C insertion_sort 1000,,,,,37210391.0,ns,16168
C insertion_sort 1000,,,,,37979555.0,ns,16512
C insertion_sort 1000,,,,,38505933.0,ns,16856
C insertion_sort 1000,,,,,39300548.0,ns,17200
C insertion_sort 1000,,,,,40381859.0,ns,17544
C insertion_sort 1000,,,,,40864262.0,ns,17888
C insertion_sort 1000,,,,,41627979.0,ns,18232
C insertion_sort 1000,,,,,42581308.0,ns,18576
C insertion_sort 1000,,,,,43206715.0,ns,18920
C insertion_sort 1000,,,,,44171770.0,ns,19264
C insertion_sort 1000,,,,,45219970.0,ns,19608
C insertion_sort 1000,,,,,45713807.0,ns,19952
C insertion_sort 1000,,,,,46388830.0,ns,20296
C insertion_sort 1000,,,,,47077269.0,ns,20640
C insertion_sort 1000,,,,,48023337.0,ns,20984
C insertion_sort 1000,,,,,48707052.0,ns,21328
C insertion_sort 1000,,,,,49468623.0,ns,21672
C insertion_sort 1000,,,,,50894341.0,ns,22016
C insertion_sort 1000,,,,,51286136.0,ns,22360
C insertion_sort 1000,,,,,51831134.0,ns,22704
C insertion_sort 1000,,,,,58209325.0,ns,23048
C insertion_sort 1000,,,,,53408299.0,ns,23392
C insertion_sort 1000,,,,,54238578.0,ns,23736
C insertion_sort 1000,,,,,54963606.0,ns,24080
C insertion_sort 1000,,,,,55750264.0,ns,24424
C insertion_sort 1000,,,,,56663699.0,ns,24768
C insertion_sort 1000,,,,,57357734.0,ns,25112
C insertion_sort 1000,,,,,58066723.0,ns,25456
C insertion_sort 1000,,,,,58874720.0,ns,25800
C insertion_sort 1000,,,,,59816612.0,ns,26144
C insertion_sort 1000,,,,,60885079.0,ns,26488
C insertion_sort 1000,,,,,61348260.0,ns,26832
C insertion_sort 1000,,,,,62006903.0,ns,27176
C insertion_sort 1000,,,,,62825427.0,ns,27520
C insertion_sort 1000,,,,,63751675.0,ns,27864
C insertion_sort 1000,,,,,64701127.0,ns,28208
C insertion_sort 1000,,,,,65319978.0,ns,28552
C insertion_sort 1000,,,,,66009489.0,ns,28896
C insertion_sort 1000,,,,,67090420.0,ns,29240
C insertion_sort 1000,,,,,67578497.0,ns,29584
C insertion_sort 1000,,,,,67771861.0,ns,29928
C insertion_sort 1000,,,,,69153920.0,ns,30272
C insertion_sort 1000,,,,,70059796.0,ns,30616
C insertion_sort 1000,,,,,71034666.0,ns,30960
C insertion_sort 1000,,,,,71395575.0,ns,31304
C insertion_sort 1000,,,,,72427613.0,ns,31648
C insertion_sort 1000,,,,,73148062.0,ns,31992
C insertion_sort 1000,,,,,73895343.0,ns,32336
C insertion_sort 1000,,,,,74020088.0,ns,32680
C insertion_sort 1000,,,,,75338549.0,ns,33024
C insertion_sort 1000,,,,,76206750.0,ns,33368
C insertion_sort 1000,,,,,77002659.0,ns,33712
C insertion_sort 1000,,,,,77661674.0,ns,34056
C insertion_sort 1000,,,,,78618067.0,ns,34400
