group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
C selection_sort 10,,,,,60278789.0,ns,2
C selection_sort 10,,,,,60276250.0,ns,2
C selection_sort 10,,,,,60219485.0,ns,2
C selection_sort 10,,,,,60308713.0,ns,2
C selection_sort 10,,,,,60231241.0,ns,2
C selection_sort 10,,,,,60260128.0,ns,2
C selection_sort 10,,,,,60238414.0,ns,2
C selection_sort 10,,,,,60239003.0,ns,2
C selection_sort 10,,,,,60253450.0,ns,2
C selection_sort 10,,,,,60230002.0,ns,2
C selection_sort 10,,,,,60253416.0,ns,2
C selection_sort 10,,,,,60428217.0,ns,2
C selection_sort 10,,,,,60254847.0,ns,2
C selection_sort 10,,,,,60283796.0,ns,2
C selection_sort 10,,,,,60234502.0,ns,2
C selection_sort 10,,,,,60231366.0,ns,2
C selection_sort 10,,,,,60239111.0,ns,2
C selection_sort 10,,,,,60241612.0,ns,2
C selection_sort 10,,,,,60257652.0,ns,2
C selection_sort 10,,,,,60247133.0,ns,2
C selection_sort 10,,,,,60241243.0,ns,2
C selection_sort 10,,,,,60214616.0,ns,2
C selection_sort 10,,,,,60246461.0,ns,2
C selection_sort 10,,,,,60249288.0,ns,2
C selection_sort 10,,,,,60250423.0,ns,2
C selection_sort 10,,,,,60263699.0,ns,2
C selection_sort 10,,,,,60226519.0,ns,2
C selection_sort 10,,,,,60260951.0,ns,2
C selection_sort 10,,,,,60276115.0,ns,2
C selection_sort 10,,,,,60217160.0,ns,2
C selection_sort 10,,,,,60259921.0,ns,2
C selection_sort 10,,,,,60286386.0,ns,2
C selection_sort 10,,,,,60297503.0,ns,2
C selection_sort 10,,,,,60258242.0,ns,2
C selection_sort 10,,,,,60256129.0,ns,2
C selection_sort 10,,,,,60260473.0,ns,2
C selection_sort 10,,,,,60259547.0,ns,2
C selection_sort 10,,,,,60238141.0,ns,2
C selection_sort 10,,,,,60258477.0,ns,2
C selection_sort 10,,,,,60278269.0,ns,2
C selection_sort 10,,,,,60245078.0,ns,2
C selection_sort 10,,,,,60251136.0,ns,2
C selection_sort 10,,,,,60289797.0,ns,2
C selection_sort 10,,,,,60286420.0,ns,2
C selection_sort 10,,,,,60313829.0,ns,2
C selection_sort 10,,,,,60255603.0,ns,2
C selection_sort 10,,,,,60249221.0,ns,2
C selection_sort 10,,,,,60257091.0,ns,2
C selection_sort 10,,,,,60441596.0,ns,2
C selection_sort 10,,,,,60241681.0,ns,2
C selection_sort 10,,,,,60228792.0,ns,2
C selection_sort 10,,,,,60253214.0,ns,2
C selection_sort 10,,,,,60253628.0,ns,2
C selection_sort 10,,,,,60236270.0,ns,2
C selection_sort 10,,,,,60337516.0,ns,2
C selection_sort 10,,,,,60244464.0,ns,2
C selection_sort 10,,,,,60217519.0,ns,2
C selection_sort 10,,,,,60252795.0,ns,2
C selection_sort 10,,,,,60270366.0,ns,2
C selection_sort 10,,,,,60249453.0,ns,2
C selection_sort 10,,,,,60263343.0,ns,2
C selection_sort 10,,,,,60246023.0,ns,2
C selection_sort 10,,,,,60289586.0,ns,2
C selection_sort 10,,,,,60256181.0,ns,2
C selection_sort 10,,,,,60256913.0,ns,2
C selection_sort 10,,,,,60273335.0,ns,2
C selection_sort 10,,,,,60215117.0,ns,2
C selection_sort 10,,,,,60254056.0,ns,2
C selection_sort 10,,,,,60258340.0,ns,2
C selection_sort 10,,,,,60256945.0,ns,2
C selection_sort 10,,,,,60250462.0,ns,2
C selection_sort 10,,,,,60282105.0,ns,2
C selection_sort 10,,,,,60302169.0,ns,2
C selection_sort 10,,,,,60281238.0,ns,2
C selection_sort 10,,,,,60246614.0,ns,2
C selection_sort 10,,,,,60232645.0,ns,2
C selection_sort 10,,,,,60288509.0,ns,2
C selection_sort 10,,,,,60239878.0,ns,2
C selection_sort 10,,,,,60299978.0,ns,2
C selection_sort 10,,,,,60272968.0,ns,2
C selection_sort 10,,,,,60232469.0,ns,2
C selection_sort 10,,,,,60273460.0,ns,2
C selection_sort 10,,,,,60254558.0,ns,2
C selection_sort 10,,,,,60241037.0,ns,2
C selection_sort 10,,,,,60244829.0,ns,2
C selection_sort 10,,,,,60247151.0,ns,2
C selection_sort 10,,,,,60253871.0,ns,2
C selection_sort 10,,,,,60229151.0,ns,2
C selection_sort 10,,,,,60290598.0,ns,2
C selection_sort 10,,,,,60246965.0,ns,2
C selection_sort 10,,,,,60270915.0,ns,2
C selection_sort 10,,,,,60251938.0,ns,2
C selection_sort 10,,,,,60236401.0,ns,2
C selection_sort 10,,,,,60281958.0,ns,2
C selection_sort 10,,,,,60244573.0,ns,2
C selection_sort 10,,,,,60235017.0,ns,2
C selection_sort 10,,,,,60279694.0,ns,2
C selection_sort 10,,,,,60237356.0,ns,2
C selection_sort 10,,,,,61497084.0,ns,2
C selection_sort 10,,,,,63483170.0,ns,2
