group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
C selection_sort 100,,,,,611955.0,ns,3801
C selection_sort 100,,,,,1197696.0,ns,7602
C selection_sort 100,,,,,1798338.0,ns,11403
C selection_sort 100,,,,,2409766.0,ns,15204
C selection_sort 100,,,,,2976712.0,ns,19005
C selection_sort 100,,,,,3556780.0,ns,22806
C selection_sort 100,,,,,4152497.0,ns,26607
C selection_sort 100,,,,,4852309.0,ns,30408
C selection_sort 100,,,,,5437407.0,ns,34209
C selection_sort 100,,,,,6060658.0,ns,38010
C selection_sort 100,,,,,6653461.0,ns,41811
C selection_sort 100,,,,,7237118.0,ns,45612
C selection_sort 100,,,,,7852382.0,ns,49413
C selection_sort 100,,,,,8442585.0,ns,53214
C selection_sort 100,,,,,9049395.0,ns,57015
C selection_sort 100,,,,,9616302.0,ns,60816
C selection_sort 100,,,,,10217942.0,ns,64617
C selection_sort 100,,,,,10845868.0,ns,68418
C selection_sort 100,,,,,11959955.0,ns,72219
C selection_sort 100,,,,,12019190.0,ns,76020
C selection_sort 100,,,,,12768356.0,ns,79821
C selection_sort 100,,,,,13166914.0,ns,83622
C selection_sort 100,,,,,13781113.0,ns,87423
C selection_sort 100,,,,,14457948.0,ns,91224
C selection_sort 100,,,,,15010602.0,ns,95025
C selection_sort 100,,,,,15655436.0,ns,98826
C selection_sort 100,,,,,16347350.0,ns,102627
C selection_sort 100,,,,,16800171.0,ns,106428
C selection_sort 100,,,,,17461598.0,ns,110229
C selection_sort 100,,,,,17945135.0,ns,114030
C selection_sort 100,,,,,18677696.0,ns,117831
C selection_sort 100,,,,,19304086.0,ns,121632
C selection_sort 100,,,,,19778299.0,ns,125433
C selection_sort 100,,,,,20501047.0,ns,129234
C selection_sort 100,,,,,21125143.0,ns,133035
C selection_sort 100,,,,,21764325.0,ns,136836
C selection_sort 100,,,,,22367223.0,ns,140637
C selection_sort 100,,,,,22877116.0,ns,144438
C selection_sort 100,,,,,23524704.0,ns,148239
C selection_sort 100,,,,,24092153.0,ns,152040
C selection_sort 100,,,,,24967032.0,ns,155841
C selection_sort 100,,,,,25134768.0,ns,159642
C selection_sort 100,,,,,25693838.0,ns,163443
C selection_sort 100,,,,,26522569.0,ns,167244
C selection_sort 100,,,,,27048329.0,ns,171045
C selection_sort 100,,,,,27776107.0,ns,174846
C selection_sort 100,,,,,28309829.0,ns,178647
C selection_sort 100,,,,,29046000.0,ns,182448
C selection_sort 100,,,,,29523057.0,ns,186249
C selection_sort 100,,,,,30223621.0,ns,190050
C selection_sort 100,,,,,30614932.0,ns,193851
C selection_sort 100,,,,,31462036.0,ns,197652
C selection_sort 100,,,,,31998962.0,ns,201453
C selection_sort 100,,,,,32529758.0,ns,205254
C selection_sort 100,,,,,33274095.0,ns,209055
C selection_sort 100,,,,,33848864.0,ns,212856
C selection_sort 100,,,,,34662330.0,ns,216657
C selection_sort 100,,,,,34939921.0,ns,220458
C selection_sort 100,,,,,35600127.0,ns,224259
C selection_sort 100,,,,,36074738.0,ns,228060
C selection_sort 100,,,,,36905270.0,ns,231861
C selection_sort 100,,,,,37444482.0,ns,235662
C selection_sort 100,,,,,38041362.0,ns,239463
C selection_sort 100,,,,,38643414.0,ns,243264
C selection_sort 100,,,,,39123759.0,ns,247065
C selection_sort 100,,,,,39639250.0,ns,250866
C selection_sort 100,,,,,40464394.0,ns,254667
C selection_sort 100,,,,,40901298.0,ns,258468
C selection_sort 100,,,,,41531461.0,ns,262269
C selection_sort 100,,,,,42236957.0,ns,266070
C selection_sort 100,,,,,42792469.0,ns,269871
C selection_sort 100,,,,,43284742.0,ns,273672
C selection_sort 100,,,,,43829495.0,ns,277473
C selection_sort 100,,,,,44747567.0,ns,281274
C selection_sort 100,,,,,44979375.0,ns,285075
C selection_sort 100,,,,,45594745.0,ns,288876
C selection_sort 100,,,,,46492202.0,ns,292677
C selection_sort 100,,,,,47071576.0,ns,296478
C selection_sort 100,,,,,47696203.0,ns,300279
C selection_sort 100,,,,,48339936.0,ns,304080
C selection_sort 100,,,,,48979363.0,ns,307881
C selection_sort 100,,,,,49303878.0,ns,311682
C selection_sort 100,,,,,50081935.0,ns,315483
C selection_sort 100,,,,,50916161.0,ns,319284
C selection_sort 100,,,,,51293404.0,ns,323085
C selection_sort 100,,,,,51859858.0,ns,326886
C selection_sort 100,,,,,52464942.0,ns,330687
C selection_sort 100,,,,,53084238.0,ns,334488
C selection_sort 100,,,,,53705455.0,ns,338289
C selection_sort 100,,,,,54144867.0,ns,342090
C selection_sort 100,,,,,55078401.0,ns,345891
C selection_sort 100,,,,,55421554.0,ns,349692
C selection_sort 100,,,,,55990509.0,ns,353493
C selection_sort 100,,,,,56635955.0,ns,357294
C selection_sort 100,,,,,57260271.0,ns,361095
C selection_sort 100,,,,,57792836.0,ns,364896
C selection_sort 100,,,,,58630186.0,ns,368697
C selection_sort 100,,,,,59048279.0,ns,372498
C selection_sort 100,,,,,59690559.0,ns,376299
C selection_sort 100,,,,,60371374.0,ns,380100
