group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Insertion Sort,C,100,,,769513.0,ns,357
Insertion Sort,C,100,,,1555050.0,ns,714
Insertion Sort,C,100,,,2313472.0,ns,1071
Insertion Sort,C,100,,,3091601.0,ns,1428
Insertion Sort,C,100,,,3971556.0,ns,1785
Insertion Sort,C,100,,,4685764.0,ns,2142
Insertion Sort,C,100,,,5402269.0,ns,2499
Insertion Sort,C,100,,,6265579.0,ns,2856
Insertion Sort,C,100,,,6960470.0,ns,3213
Insertion Sort,C,100,,,7708492.0,ns,3570
Insertion Sort,C,100,,,8513182.0,ns,3927
Insertion Sort,C,100,,,9236651.0,ns,4284
Insertion Sort,C,100,,,10002713.0,ns,4641
Insertion Sort,C,100,,,10793321.0,ns,4998
Insertion Sort,C,100,,,11557760.0,ns,5355
Insertion Sort,C,100,,,12328387.0,ns,5712
Insertion Sort,C,100,,,13081992.0,ns,6069
Insertion Sort,C,100,,,13855697.0,ns,6426
Insertion Sort,C,100,,,14705041.0,ns,6783
Insertion Sort,C,100,,,15380270.0,ns,7140
Insertion Sort,C,100,,,16140681.0,ns,7497
Insertion Sort,C,100,,,16946973.0,ns,7854
Insertion Sort,C,100,,,17734565.0,ns,8211
Insertion Sort,C,100,,,18475770.0,ns,8568
Insertion Sort,C,100,,,19267734.0,ns,8925
Insertion Sort,C,100,,,20039438.0,ns,9282
Insertion Sort,C,100,,,20787413.0,ns,9639
Insertion Sort,C,100,,,21713537.0,ns,9996
Insertion Sort,C,100,,,22327848.0,ns,10353
Insertion Sort,C,100,,,23102346.0,ns,10710
Insertion Sort,C,100,,,23909906.0,ns,11067
Insertion Sort,C,100,,,24657736.0,ns,11424
Insertion Sort,C,100,,,25417349.0,ns,11781
Insertion Sort,C,100,,,26161705.0,ns,12138
Insertion Sort,C,100,,,26955214.0,ns,12495
Insertion Sort,C,100,,,27792561.0,ns,12852
Insertion Sort,C,100,,,28753521.0,ns,13209
Insertion Sort,C,100,,,29321120.0,ns,13566
Insertion Sort,C,100,,,30047946.0,ns,13923
Insertion Sort,C,100,,,30796775.0,ns,14280
Insertion Sort,C,100,,,31547489.0,ns,14637
Insertion Sort,C,100,,,32373831.0,ns,14994
Insertion Sort,C,100,,,33219434.0,ns,15351
Insertion Sort,C,100,,,33910575.0,ns,15708
Insertion Sort,C,100,,,34652089.0,ns,16065
Insertion Sort,C,100,,,35426210.0,ns,16422
Insertion Sort,C,100,,,36570741.0,ns,16779
Insertion Sort,C,100,,,37016876.0,ns,17136
Insertion Sort,C,100,,,37784960.0,ns,17493
Insertion Sort,C,100,,,38502170.0,ns,17850
Insertion Sort,C,100,,,39341742.0,ns,18207
Insertion Sort,C,100,,,40099948.0,ns,18564
Insertion Sort,C,100,,,40860265.0,ns,18921
Insertion Sort,C,100,,,41606972.0,ns,19278
Insertion Sort,C,100,,,42426299.0,ns,19635
Insertion Sort,C,100,,,43104374.0,ns,19992
Insertion Sort,C,100,,,43930122.0,ns,20349
Insertion Sort,C,100,,,44716568.0,ns,20706
Insertion Sort,C,100,,,45387722.0,ns,21063
Insertion Sort,C,100,,,46448743.0,ns,21420
Insertion Sort,C,100,,,46993045.0,ns,21777
Insertion Sort,C,100,,,47777353.0,ns,22134
Insertion Sort,C,100,,,48551770.0,ns,22491
Insertion Sort,C,100,,,49312163.0,ns,22848
Insertion Sort,C,100,,,50115556.0,ns,23205
Insertion Sort,C,100,,,50881019.0,ns,23562
Insertion Sort,C,100,,,51601058.0,ns,23919
Insertion Sort,C,100,,,52405016.0,ns,24276
Insertion Sort,C,100,,,53136902.0,ns,24633
Insertion Sort,C,100,,,53888110.0,ns,24990
Insertion Sort,C,100,,,54729087.0,ns,25347
Insertion Sort,C,100,,,55430968.0,ns,25704
Insertion Sort,C,100,,,56219031.0,ns,26061
Insertion Sort,C,100,,,57043193.0,ns,26418
Insertion Sort,C,100,,,57908647.0,ns,26775
Insertion Sort,C,100,,,58597126.0,ns,27132
Insertion Sort,C,100,,,59547981.0,ns,27489
Insertion Sort,C,100,,,60133399.0,ns,27846
Insertion Sort,C,100,,,60934128.0,ns,28203
Insertion Sort,C,100,,,61788157.0,ns,28560
Insertion Sort,C,100,,,62429821.0,ns,28917
Insertion Sort,C,100,,,63231340.0,ns,29274
Insertion Sort,C,100,,,63958861.0,ns,29631
Insertion Sort,C,100,,,64730999.0,ns,29988
Insertion Sort,C,100,,,65532961.0,ns,30345
Insertion Sort,C,100,,,66247852.0,ns,30702
Insertion Sort,C,100,,,67110469.0,ns,31059
Insertion Sort,C,100,,,67888523.0,ns,31416
Insertion Sort,C,100,,,68567443.0,ns,31773
Insertion Sort,C,100,,,69392141.0,ns,32130
Insertion Sort,C,100,,,70164169.0,ns,32487
Insertion Sort,C,100,,,70955598.0,ns,32844
Insertion Sort,C,100,,,71713040.0,ns,33201
Insertion Sort,C,100,,,72387063.0,ns,33558
Insertion Sort,C,100,,,73278314.0,ns,33915
Insertion Sort,C,100,,,74072974.0,ns,34272
Insertion Sort,C,100,,,74813530.0,ns,34629
Insertion Sort,C,100,,,75598428.0,ns,34986
Insertion Sort,C,100,,,76295853.0,ns,35343
Insertion Sort,C,100,,,77164360.0,ns,35700
