group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Insertion Sort,C,10000,,,56177129.0,ns,5
Insertion Sort,C,10000,,,55753470.0,ns,5
Insertion Sort,C,10000,,,55955495.0,ns,5
Insertion Sort,C,10000,,,55392036.0,ns,5
Insertion Sort,C,10000,,,55940842.0,ns,5
Insertion Sort,C,10000,,,55617042.0,ns,5
Insertion Sort,C,10000,,,55813705.0,ns,5
Insertion Sort,C,10000,,,55490859.0,ns,5
Insertion Sort,C,10000,,,55799886.0,ns,5
Insertion Sort,C,10000,,,55591684.0,ns,5
Insertion Sort,C,10000,,,55869559.0,ns,5
Insertion Sort,C,10000,,,55709622.0,ns,5
Insertion Sort,C,10000,,,55861584.0,ns,5
Insertion Sort,C,10000,,,55887785.0,ns,5
Insertion Sort,C,10000,,,56046982.0,ns,5
Insertion Sort,C,10000,,,55962867.0,ns,5
Insertion Sort,C,10000,,,55672703.0,ns,5
Insertion Sort,C,10000,,,55801399.0,ns,5
Insertion Sort,C,10000,,,55968696.0,ns,5
Insertion Sort,C,10000,,,55847230.0,ns,5
Insertion Sort,C,10000,,,55859578.0,ns,5
Insertion Sort,C,10000,,,55522514.0,ns,5
Insertion Sort,C,10000,,,55714656.0,ns,5
Insertion Sort,C,10000,,,55445927.0,ns,5
Insertion Sort,C,10000,,,55762579.0,ns,5
Insertion Sort,C,10000,,,55676201.0,ns,5
Insertion Sort,C,10000,,,55713790.0,ns,5
Insertion Sort,C,10000,,,56029661.0,ns,5
Insertion Sort,C,10000,,,55746834.0,ns,5
Insertion Sort,C,10000,,,55861641.0,ns,5
Insertion Sort,C,10000,,,55849166.0,ns,5
Insertion Sort,C,10000,,,55864667.0,ns,5
Insertion Sort,C,10000,,,61459706.0,ns,5
Insertion Sort,C,10000,,,55783793.0,ns,5
Insertion Sort,C,10000,,,55880968.0,ns,5
Insertion Sort,C,10000,,,55937121.0,ns,5
Insertion Sort,C,10000,,,55723598.0,ns,5
Insertion Sort,C,10000,,,55866244.0,ns,5
Insertion Sort,C,10000,,,55820877.0,ns,5
Insertion Sort,C,10000,,,55603630.0,ns,5
Insertion Sort,C,10000,,,55475915.0,ns,5
Insertion Sort,C,10000,,,55960679.0,ns,5
Insertion Sort,C,10000,,,55842127.0,ns,5
Insertion Sort,C,10000,,,55965382.0,ns,5
Insertion Sort,C,10000,,,55851332.0,ns,5
Insertion Sort,C,10000,,,55781190.0,ns,5
Insertion Sort,C,10000,,,56257143.0,ns,5
Insertion Sort,C,10000,,,55495209.0,ns,5
Insertion Sort,C,10000,,,55863339.0,ns,5
Insertion Sort,C,10000,,,55647435.0,ns,5
Insertion Sort,C,10000,,,55800723.0,ns,5
Insertion Sort,C,10000,,,55864863.0,ns,5
Insertion Sort,C,10000,,,55879402.0,ns,5
Insertion Sort,C,10000,,,55778598.0,ns,5
Insertion Sort,C,10000,,,56159823.0,ns,5
Insertion Sort,C,10000,,,55646082.0,ns,5
Insertion Sort,C,10000,,,55856121.0,ns,5
Insertion Sort,C,10000,,,55826099.0,ns,5
Insertion Sort,C,10000,,,55644850.0,ns,5
Insertion Sort,C,10000,,,55961643.0,ns,5
Insertion Sort,C,10000,,,55765118.0,ns,5
Insertion Sort,C,10000,,,55483297.0,ns,5
Insertion Sort,C,10000,,,55785193.0,ns,5
Insertion Sort,C,10000,,,55578947.0,ns,5
Insertion Sort,C,10000,,,55916896.0,ns,5
Insertion Sort,C,10000,,,55797140.0,ns,5
Insertion Sort,C,10000,,,55771502.0,ns,5
Insertion Sort,C,10000,,,55763693.0,ns,5
Insertion Sort,C,10000,,,55765754.0,ns,5
Insertion Sort,C,10000,,,55472606.0,ns,5
Insertion Sort,C,10000,,,55797267.0,ns,5
Insertion Sort,C,10000,,,55840280.0,ns,5
Insertion Sort,C,10000,,,55704827.0,ns,5
Insertion Sort,C,10000,,,55774835.0,ns,5
Insertion Sort,C,10000,,,55865899.0,ns,5
Insertion Sort,C,10000,,,56766444.0,ns,5
Insertion Sort,C,10000,,,56205091.0,ns,5
Insertion Sort,C,10000,,,56169819.0,ns,5
Insertion Sort,C,10000,,,55837352.0,ns,5
Insertion Sort,C,10000,,,55671928.0,ns,5
Insertion Sort,C,10000,,,55459016.0,ns,5
Insertion Sort,C,10000,,,55738642.0,ns,5
Insertion Sort,C,10000,,,55974555.0,ns,5
Insertion Sort,C,10000,,,56089918.0,ns,5
Insertion Sort,C,10000,,,56635546.0,ns,5
Insertion Sort,C,10000,,,55766657.0,ns,5
Insertion Sort,C,10000,,,55931488.0,ns,5
Insertion Sort,C,10000,,,55908523.0,ns,5
Insertion Sort,C,10000,,,56126728.0,ns,5
Insertion Sort,C,10000,,,55942074.0,ns,5
Insertion Sort,C,10000,,,55966689.0,ns,5
Insertion Sort,C,10000,,,56073406.0,ns,5
Insertion Sort,C,10000,,,55518063.0,ns,5
Insertion Sort,C,10000,,,55950481.0,ns,5
Insertion Sort,C,10000,,,55717085.0,ns,5
Insertion Sort,C,10000,,,55563949.0,ns,5
Insertion Sort,C,10000,,,55723615.0,ns,5
Insertion Sort,C,10000,,,55866227.0,ns,5
Insertion Sort,C,10000,,,55972015.0,ns,5
Insertion Sort,C,10000,,,55578058.0,ns,5
