group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Insertion Sort,Rust,1000,,,1093972.0,ns,7
Insertion Sort,Rust,1000,,,2212350.0,ns,14
Insertion Sort,Rust,1000,,,3301678.0,ns,21
Insertion Sort,Rust,1000,,,4381810.0,ns,28
Insertion Sort,Rust,1000,,,5527590.0,ns,35
Insertion Sort,Rust,1000,,,6584985.0,ns,42
Insertion Sort,Rust,1000,,,7733321.0,ns,49
Insertion Sort,Rust,1000,,,8730696.0,ns,56
Insertion Sort,Rust,1000,,,9874535.0,ns,63
Insertion Sort,Rust,1000,,,11008003.0,ns,70
Insertion Sort,Rust,1000,,,12116930.0,ns,77
Insertion Sort,Rust,1000,,,13193073.0,ns,84
Insertion Sort,Rust,1000,,,14302674.0,ns,91
Insertion Sort,Rust,1000,,,15318205.0,ns,98
Insertion Sort,Rust,1000,,,16510899.0,ns,105
Insertion Sort,Rust,1000,,,17566254.0,ns,112
Insertion Sort,Rust,1000,,,18621268.0,ns,119
Insertion Sort,Rust,1000,,,19820164.0,ns,126
Insertion Sort,Rust,1000,,,20850728.0,ns,133
Insertion Sort,Rust,1000,,,21955898.0,ns,140
Insertion Sort,Rust,1000,,,23150815.0,ns,147
Insertion Sort,Rust,1000,,,24108012.0,ns,154
Insertion Sort,Rust,1000,,,25240252.0,ns,161
Insertion Sort,Rust,1000,,,26305922.0,ns,168
Insertion Sort,Rust,1000,,,27474083.0,ns,175
Insertion Sort,Rust,1000,,,28464591.0,ns,182
Insertion Sort,Rust,1000,,,29636342.0,ns,189
Insertion Sort,Rust,1000,,,30774469.0,ns,196
Insertion Sort,Rust,1000,,,31771129.0,ns,203
Insertion Sort,Rust,1000,,,32942312.0,ns,210
Insertion Sort,Rust,1000,,,34006140.0,ns,217
Insertion Sort,Rust,1000,,,35117846.0,ns,224
Insertion Sort,Rust,1000,,,36236740.0,ns,231
Insertion Sort,Rust,1000,,,37282553.0,ns,238
Insertion Sort,Rust,1000,,,38432554.0,ns,245
Insertion Sort,Rust,1000,,,39406964.0,ns,252
Insertion Sort,Rust,1000,,,40866459.0,ns,259
Insertion Sort,Rust,1000,,,43042633.0,ns,266
Insertion Sort,Rust,1000,,,46772255.0,ns,273
Insertion Sort,Rust,1000,,,44432002.0,ns,280
Insertion Sort,Rust,1000,,,44987077.0,ns,287
Insertion Sort,Rust,1000,,,46148470.0,ns,294
Insertion Sort,Rust,1000,,,47303400.0,ns,301
Insertion Sort,Rust,1000,,,48276382.0,ns,308
Insertion Sort,Rust,1000,,,49466781.0,ns,315
Insertion Sort,Rust,1000,,,50759367.0,ns,322
Insertion Sort,Rust,1000,,,51429217.0,ns,329
Insertion Sort,Rust,1000,,,52616264.0,ns,336
Insertion Sort,Rust,1000,,,53741148.0,ns,343
Insertion Sort,Rust,1000,,,54930604.0,ns,350
Insertion Sort,Rust,1000,,,55913350.0,ns,357
Insertion Sort,Rust,1000,,,57151170.0,ns,364
Insertion Sort,Rust,1000,,,58341366.0,ns,371
Insertion Sort,Rust,1000,,,59290676.0,ns,378
Insertion Sort,Rust,1000,,,60281300.0,ns,385
Insertion Sort,Rust,1000,,,61708722.0,ns,392
Insertion Sort,Rust,1000,,,62634116.0,ns,399
Insertion Sort,Rust,1000,,,63729702.0,ns,406
Insertion Sort,Rust,1000,,,64717807.0,ns,413
Insertion Sort,Rust,1000,,,65940204.0,ns,420
Insertion Sort,Rust,1000,,,66990485.0,ns,427
Insertion Sort,Rust,1000,,,68074886.0,ns,434
Insertion Sort,Rust,1000,,,69102892.0,ns,441
Insertion Sort,Rust,1000,,,70165626.0,ns,448
Insertion Sort,Rust,1000,,,71613162.0,ns,455
Insertion Sort,Rust,1000,,,72385418.0,ns,462
Insertion Sort,Rust,1000,,,73470677.0,ns,469
Insertion Sort,Rust,1000,,,74550741.0,ns,476
Insertion Sort,Rust,1000,,,75715745.0,ns,483
Insertion Sort,Rust,1000,,,76805513.0,ns,490
