group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Insertion Sort,Rust,10000,,,60035258.0,ns,4
Insertion Sort,Rust,10000,,,59367909.0,ns,4
Insertion Sort,Rust,10000,,,59349147.0,ns,4
Insertion Sort,Rust,10000,,,59954928.0,ns,4
Insertion Sort,Rust,10000,,,59638253.0,ns,4
Insertion Sort,Rust,10000,,,59436235.0,ns,4
Insertion Sort,Rust,10000,,,59623717.0,ns,4
Insertion Sort,Rust,10000,,,59191399.0,ns,4
Insertion Sort,Rust,10000,,,59243353.0,ns,4
Insertion Sort,Rust,10000,,,59139946.0,ns,4
Insertion Sort,Rust,10000,,,59672874.0,ns,4
Insertion Sort,Rust,10000,,,59412367.0,ns,4
Insertion Sort,Rust,10000,,,59421470.0,ns,4
Insertion Sort,Rust,10000,,,59343287.0,ns,4
Insertion Sort,Rust,10000,,,59211899.0,ns,4
Insertion Sort,Rust,10000,,,59434631.0,ns,4
Insertion Sort,Rust,10000,,,59563822.0,ns,4
Insertion Sort,Rust,10000,,,59804299.0,ns,4
Insertion Sort,Rust,10000,,,59371972.0,ns,4
Insertion Sort,Rust,10000,,,58843246.0,ns,4
Insertion Sort,Rust,10000,,,59078630.0,ns,4
Insertion Sort,Rust,10000,,,59444798.0,ns,4
Insertion Sort,Rust,10000,,,59122372.0,ns,4
Insertion Sort,Rust,10000,,,59713208.0,ns,4
Insertion Sort,Rust,10000,,,59494961.0,ns,4
Insertion Sort,Rust,10000,,,59712598.0,ns,4
Insertion Sort,Rust,10000,,,59009210.0,ns,4
Insertion Sort,Rust,10000,,,59480831.0,ns,4
Insertion Sort,Rust,10000,,,59509410.0,ns,4
Insertion Sort,Rust,10000,,,59072031.0,ns,4
Insertion Sort,Rust,10000,,,59265481.0,ns,4
Insertion Sort,Rust,10000,,,59999105.0,ns,4
Insertion Sort,Rust,10000,,,59321804.0,ns,4
Insertion Sort,Rust,10000,,,58837966.0,ns,4
Insertion Sort,Rust,10000,,,59791046.0,ns,4
Insertion Sort,Rust,10000,,,59265104.0,ns,4
Insertion Sort,Rust,10000,,,59547910.0,ns,4
Insertion Sort,Rust,10000,,,59287381.0,ns,4
Insertion Sort,Rust,10000,,,59159318.0,ns,4
Insertion Sort,Rust,10000,,,59472997.0,ns,4
Insertion Sort,Rust,10000,,,59182616.0,ns,4
Insertion Sort,Rust,10000,,,59551896.0,ns,4
Insertion Sort,Rust,10000,,,59351380.0,ns,4
Insertion Sort,Rust,10000,,,59239963.0,ns,4
Insertion Sort,Rust,10000,,,59198639.0,ns,4
Insertion Sort,Rust,10000,,,59606348.0,ns,4
Insertion Sort,Rust,10000,,,59546218.0,ns,4
Insertion Sort,Rust,10000,,,59562605.0,ns,4
Insertion Sort,Rust,10000,,,59149398.0,ns,4
Insertion Sort,Rust,10000,,,59642010.0,ns,4
Insertion Sort,Rust,10000,,,59480629.0,ns,4
Insertion Sort,Rust,10000,,,59332206.0,ns,4
Insertion Sort,Rust,10000,,,58931569.0,ns,4
Insertion Sort,Rust,10000,,,59041614.0,ns,4
Insertion Sort,Rust,10000,,,59350102.0,ns,4
Insertion Sort,Rust,10000,,,59403896.0,ns,4
Insertion Sort,Rust,10000,,,59545407.0,ns,4
Insertion Sort,Rust,10000,,,59432921.0,ns,4
Insertion Sort,Rust,10000,,,59497021.0,ns,4
Insertion Sort,Rust,10000,,,58966695.0,ns,4
Insertion Sort,Rust,10000,,,59344954.0,ns,4
Insertion Sort,Rust,10000,,,59115905.0,ns,4
Insertion Sort,Rust,10000,,,59389779.0,ns,4
Insertion Sort,Rust,10000,,,59433237.0,ns,4
Insertion Sort,Rust,10000,,,59414591.0,ns,4
Insertion Sort,Rust,10000,,,59168552.0,ns,4
Insertion Sort,Rust,10000,,,59281636.0,ns,4
Insertion Sort,Rust,10000,,,59430264.0,ns,4
Insertion Sort,Rust,10000,,,59013970.0,ns,4
Insertion Sort,Rust,10000,,,59186038.0,ns,4
Insertion Sort,Rust,10000,,,59406170.0,ns,4
Insertion Sort,Rust,10000,,,59442653.0,ns,4
Insertion Sort,Rust,10000,,,59598312.0,ns,4
Insertion Sort,Rust,10000,,,59079590.0,ns,4
Insertion Sort,Rust,10000,,,58978648.0,ns,4
Insertion Sort,Rust,10000,,,59630898.0,ns,4
Insertion Sort,Rust,10000,,,59443893.0,ns,4
Insertion Sort,Rust,10000,,,58962091.0,ns,4
Insertion Sort,Rust,10000,,,59028481.0,ns,4
Insertion Sort,Rust,10000,,,59314833.0,ns,4
Insertion Sort,Rust,10000,,,59611175.0,ns,4
Insertion Sort,Rust,10000,,,59334096.0,ns,4
Insertion Sort,Rust,10000,,,59613909.0,ns,4
Insertion Sort,Rust,10000,,,59252670.0,ns,4
Insertion Sort,Rust,10000,,,59190069.0,ns,4
Insertion Sort,Rust,10000,,,59227401.0,ns,4
Insertion Sort,Rust,10000,,,59875842.0,ns,4
Insertion Sort,Rust,10000,,,59363485.0,ns,4
Insertion Sort,Rust,10000,,,59446557.0,ns,4
Insertion Sort,Rust,10000,,,59312845.0,ns,4
Insertion Sort,Rust,10000,,,59355836.0,ns,4
Insertion Sort,Rust,10000,,,59208991.0,ns,4
Insertion Sort,Rust,10000,,,59572627.0,ns,4
Insertion Sort,Rust,10000,,,59282270.0,ns,4
Insertion Sort,Rust,10000,,,59083682.0,ns,4
Insertion Sort,Rust,10000,,,59556983.0,ns,4
Insertion Sort,Rust,10000,,,59595482.0,ns,4
Insertion Sort,Rust,10000,,,59247491.0,ns,4
Insertion Sort,Rust,10000,,,59169490.0,ns,4
Insertion Sort,Rust,10000,,,59397650.0,ns,4
