group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Rust insertion_sort 1000,,,,,1064431.0,ns,6
Rust insertion_sort 1000,,,,,2141726.0,ns,12
Rust insertion_sort 1000,,,,,3168659.0,ns,18
Rust insertion_sort 1000,,,,,4305627.0,ns,24
Rust insertion_sort 1000,,,,,5324259.0,ns,30
Rust insertion_sort 1000,,,,,6338120.0,ns,36
Rust insertion_sort 1000,,,,,7374194.0,ns,42
Rust insertion_sort 1000,,,,,8469324.0,ns,48
Rust insertion_sort 1000,,,,,9531202.0,ns,54
Rust insertion_sort 1000,,,,,10560012.0,ns,60
Rust insertion_sort 1000,,,,,11570116.0,ns,66
Rust insertion_sort 1000,,,,,12656996.0,ns,72
Rust insertion_sort 1000,,,,,13725453.0,ns,78
Rust insertion_sort 1000,,,,,14853790.0,ns,84
Rust insertion_sort 1000,,,,,15897307.0,ns,90
Rust insertion_sort 1000,,,,,16887939.0,ns,96
Rust insertion_sort 1000,,,,,18037181.0,ns,102
Rust insertion_sort 1000,,,,,19082440.0,ns,108
Rust insertion_sort 1000,,,,,20029993.0,ns,114
Rust insertion_sort 1000,,,,,21108347.0,ns,120
Rust insertion_sort 1000,,,,,22254779.0,ns,126
Rust insertion_sort 1000,,,,,23290890.0,ns,132
Rust insertion_sort 1000,,,,,24354860.0,ns,138
Rust insertion_sort 1000,,,,,25368171.0,ns,144
Rust insertion_sort 1000,,,,,26400201.0,ns,150
Rust insertion_sort 1000,,,,,27411363.0,ns,156
Rust insertion_sort 1000,,,,,28619708.0,ns,162
Rust insertion_sort 1000,,,,,29653931.0,ns,168
Rust insertion_sort 1000,,,,,30686854.0,ns,174
Rust insertion_sort 1000,,,,,31713226.0,ns,180
Rust insertion_sort 1000,,,,,32790123.0,ns,186
Rust insertion_sort 1000,,,,,34185497.0,ns,192
Rust insertion_sort 1000,,,,,35056427.0,ns,198
Rust insertion_sort 1000,,,,,35923729.0,ns,204
Rust insertion_sort 1000,,,,,37060793.0,ns,210
Rust insertion_sort 1000,,,,,38063442.0,ns,216
Rust insertion_sort 1000,,,,,39092434.0,ns,222
Rust insertion_sort 1000,,,,,40318683.0,ns,228
