group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Rust insertion_sort 10000,,,,,50291416.0,ns,3
Rust insertion_sort 10000,,,,,49922031.0,ns,3
Rust insertion_sort 10000,,,,,50029261.0,ns,3
Rust insertion_sort 10000,,,,,50367857.0,ns,3
Rust insertion_sort 10000,,,,,49972666.0,ns,3
Rust insertion_sort 10000,,,,,50078981.0,ns,3
Rust insertion_sort 10000,,,,,50070847.0,ns,3
Rust insertion_sort 10000,,,,,49930419.0,ns,3
Rust insertion_sort 10000,,,,,49947043.0,ns,3
Rust insertion_sort 10000,,,,,50123907.0,ns,3
Rust insertion_sort 10000,,,,,49928825.0,ns,3
Rust insertion_sort 10000,,,,,50047698.0,ns,3
Rust insertion_sort 10000,,,,,50509403.0,ns,3
Rust insertion_sort 10000,,,,,50057096.0,ns,3
Rust insertion_sort 10000,,,,,50086498.0,ns,3
Rust insertion_sort 10000,,,,,50097256.0,ns,3
Rust insertion_sort 10000,,,,,50004813.0,ns,3
Rust insertion_sort 10000,,,,,49938158.0,ns,3
Rust insertion_sort 10000,,,,,50079763.0,ns,3
Rust insertion_sort 10000,,,,,50053264.0,ns,3
Rust insertion_sort 10000,,,,,49807307.0,ns,3
Rust insertion_sort 10000,,,,,50034917.0,ns,3
Rust insertion_sort 10000,,,,,49736927.0,ns,3
Rust insertion_sort 10000,,,,,50164502.0,ns,3
Rust insertion_sort 10000,,,,,50174529.0,ns,3
Rust insertion_sort 10000,,,,,50257453.0,ns,3
Rust insertion_sort 10000,,,,,49930114.0,ns,3
Rust insertion_sort 10000,,,,,50025613.0,ns,3
Rust insertion_sort 10000,,,,,50314131.0,ns,3
Rust insertion_sort 10000,,,,,49980118.0,ns,3
Rust insertion_sort 10000,,,,,50031517.0,ns,3
Rust insertion_sort 10000,,,,,50149598.0,ns,3
Rust insertion_sort 10000,,,,,50071844.0,ns,3
Rust insertion_sort 10000,,,,,50554939.0,ns,3
Rust insertion_sort 10000,,,,,49665258.0,ns,3
Rust insertion_sort 10000,,,,,50140724.0,ns,3
Rust insertion_sort 10000,,,,,49814178.0,ns,3
