group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Rust selection_sort 100,,,,,915665.0,ns,150
Rust selection_sort 100,,,,,1830136.0,ns,300
Rust selection_sort 100,,,,,2739394.0,ns,450
Rust selection_sort 100,,,,,3643915.0,ns,600
Rust selection_sort 100,,,,,4555572.0,ns,750
Rust selection_sort 100,,,,,5472713.0,ns,900
Rust selection_sort 100,,,,,6375171.0,ns,1050
Rust selection_sort 100,,,,,7280364.0,ns,1200
Rust selection_sort 100,,,,,8179042.0,ns,1350
Rust selection_sort 100,,,,,9135477.0,ns,1500
Rust selection_sort 100,,,,,10073771.0,ns,1650
Rust selection_sort 100,,,,,10922530.0,ns,1800
Rust selection_sort 100,,,,,11867885.0,ns,1950
Rust selection_sort 100,,,,,12837261.0,ns,2100
Rust selection_sort 100,,,,,13773785.0,ns,2250
Rust selection_sort 100,,,,,14600582.0,ns,2400
Rust selection_sort 100,,,,,15502537.0,ns,2550
Rust selection_sort 100,,,,,16481615.0,ns,2700
Rust selection_sort 100,,,,,17336311.0,ns,2850
Rust selection_sort 100,,,,,18306240.0,ns,3000
Rust selection_sort 100,,,,,19192794.0,ns,3150
Rust selection_sort 100,,,,,20025789.0,ns,3300
Rust selection_sort 100,,,,,20914612.0,ns,3450
Rust selection_sort 100,,,,,21839361.0,ns,3600
Rust selection_sort 100,,,,,22821594.0,ns,3750
Rust selection_sort 100,,,,,23721546.0,ns,3900
Rust selection_sort 100,,,,,24720895.0,ns,4050
Rust selection_sort 100,,,,,25599726.0,ns,4200
Rust selection_sort 100,,,,,26632375.0,ns,4350
Rust selection_sort 100,,,,,27430391.0,ns,4500
Rust selection_sort 100,,,,,28352751.0,ns,4650
Rust selection_sort 100,,,,,29205367.0,ns,4800
Rust selection_sort 100,,,,,30247590.0,ns,4950
Rust selection_sort 100,,,,,31046245.0,ns,5100
Rust selection_sort 100,,,,,31995597.0,ns,5250
Rust selection_sort 100,,,,,32982082.0,ns,5400
Rust selection_sort 100,,,,,33703234.0,ns,5550
Rust selection_sort 100,,,,,34673451.0,ns,5700
Rust selection_sort 100,,,,,35573346.0,ns,5850
Rust selection_sort 100,,,,,36413118.0,ns,6000
Rust selection_sort 100,,,,,37462190.0,ns,6150
Rust selection_sort 100,,,,,38313880.0,ns,6300
Rust selection_sort 100,,,,,39457554.0,ns,6450
Rust selection_sort 100,,,,,40227654.0,ns,6600
Rust selection_sort 100,,,,,41288344.0,ns,6750
Rust selection_sort 100,,,,,42087974.0,ns,6900
Rust selection_sort 100,,,,,43038078.0,ns,7050
Rust selection_sort 100,,,,,43735476.0,ns,7200
Rust selection_sort 100,,,,,44981053.0,ns,7350
Rust selection_sort 100,,,,,45766447.0,ns,7500
Rust selection_sort 100,,,,,46827170.0,ns,7650
Rust selection_sort 100,,,,,47577015.0,ns,7800
Rust selection_sort 100,,,,,48627805.0,ns,7950
Rust selection_sort 100,,,,,49506840.0,ns,8100
Rust selection_sort 100,,,,,50254211.0,ns,8250
Rust selection_sort 100,,,,,51068750.0,ns,8400
Rust selection_sort 100,,,,,52369187.0,ns,8550
Rust selection_sort 100,,,,,53171461.0,ns,8700
Rust selection_sort 100,,,,,54193830.0,ns,8850
Rust selection_sort 100,,,,,54675151.0,ns,9000
Rust selection_sort 100,,,,,55864397.0,ns,9150
Rust selection_sort 100,,,,,56867352.0,ns,9300
Rust selection_sort 100,,,,,57572515.0,ns,9450
Rust selection_sort 100,,,,,58526544.0,ns,9600
Rust selection_sort 100,,,,,59409383.0,ns,9750
Rust selection_sort 100,,,,,60446084.0,ns,9900
Rust selection_sort 100,,,,,61353242.0,ns,10050
Rust selection_sort 100,,,,,62258281.0,ns,10200
Rust selection_sort 100,,,,,63371648.0,ns,10350
Rust selection_sort 100,,,,,64271240.0,ns,10500
Rust selection_sort 100,,,,,65045048.0,ns,10650
Rust selection_sort 100,,,,,65931328.0,ns,10800
Rust selection_sort 100,,,,,66956579.0,ns,10950
Rust selection_sort 100,,,,,67785312.0,ns,11100
Rust selection_sort 100,,,,,68683841.0,ns,11250
Rust selection_sort 100,,,,,69615438.0,ns,11400
Rust selection_sort 100,,,,,70434517.0,ns,11550
Rust selection_sort 100,,,,,71206669.0,ns,11700
Rust selection_sort 100,,,,,72208299.0,ns,11850
Rust selection_sort 100,,,,,73429042.0,ns,12000
Rust selection_sort 100,,,,,74150181.0,ns,12150
Rust selection_sort 100,,,,,75170136.0,ns,12300
Rust selection_sort 100,,,,,75826160.0,ns,12450
Rust selection_sort 100,,,,,76801693.0,ns,12600
Rust selection_sort 100,,,,,77818569.0,ns,12750
Rust selection_sort 100,,,,,78822306.0,ns,12900
Rust selection_sort 100,,,,,79694819.0,ns,13050
Rust selection_sort 100,,,,,80340784.0,ns,13200
Rust selection_sort 100,,,,,81313512.0,ns,13350
Rust selection_sort 100,,,,,82390876.0,ns,13500
Rust selection_sort 100,,,,,82946939.0,ns,13650
Rust selection_sort 100,,,,,84081714.0,ns,13800
Rust selection_sort 100,,,,,85350414.0,ns,13950
Rust selection_sort 100,,,,,85942967.0,ns,14100
Rust selection_sort 100,,,,,86468356.0,ns,14250
Rust selection_sort 100,,,,,87744621.0,ns,14400
Rust selection_sort 100,,,,,88562239.0,ns,14550
Rust selection_sort 100,,,,,89540204.0,ns,14700
Rust selection_sort 100,,,,,90675585.0,ns,14850
Rust selection_sort 100,,,,,91111119.0,ns,15000
