group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Rust selection_sort 10000,,,,,69335280.0,ns,3
Rust selection_sort 10000,,,,,70135213.0,ns,3
Rust selection_sort 10000,,,,,69620322.0,ns,3
Rust selection_sort 10000,,,,,66475953.0,ns,3
Rust selection_sort 10000,,,,,64588840.0,ns,3
Rust selection_sort 10000,,,,,65896629.0,ns,3
Rust selection_sort 10000,,,,,64285373.0,ns,3
Rust selection_sort 10000,,,,,68027668.0,ns,3
Rust selection_sort 10000,,,,,76771060.0,ns,3
Rust selection_sort 10000,,,,,72877710.0,ns,3
Rust selection_sort 10000,,,,,63511575.0,ns,3
Rust selection_sort 10000,,,,,62284782.0,ns,3
Rust selection_sort 10000,,,,,61375662.0,ns,3
Rust selection_sort 10000,,,,,62228085.0,ns,3
Rust selection_sort 10000,,,,,62730127.0,ns,3
Rust selection_sort 10000,,,,,64364991.0,ns,3
Rust selection_sort 10000,,,,,64980932.0,ns,3
Rust selection_sort 10000,,,,,62639230.0,ns,3
Rust selection_sort 10000,,,,,64182912.0,ns,3
Rust selection_sort 10000,,,,,64184297.0,ns,3
Rust selection_sort 10000,,,,,65109409.0,ns,3
Rust selection_sort 10000,,,,,61006056.0,ns,3
Rust selection_sort 10000,,,,,66171291.0,ns,3
Rust selection_sort 10000,,,,,60887052.0,ns,3
Rust selection_sort 10000,,,,,61452143.0,ns,3
Rust selection_sort 10000,,,,,71233573.0,ns,3
Rust selection_sort 10000,,,,,61864016.0,ns,3
Rust selection_sort 10000,,,,,62455642.0,ns,3
Rust selection_sort 10000,,,,,61878630.0,ns,3
Rust selection_sort 10000,,,,,63525409.0,ns,3
Rust selection_sort 10000,,,,,69513516.0,ns,3
Rust selection_sort 10000,,,,,69979541.0,ns,3
Rust selection_sort 10000,,,,,67950452.0,ns,3
Rust selection_sort 10000,,,,,66708010.0,ns,3
Rust selection_sort 10000,,,,,66322951.0,ns,3
Rust selection_sort 10000,,,,,63214999.0,ns,3
Rust selection_sort 10000,,,,,61987279.0,ns,3
Rust selection_sort 10000,,,,,60594459.0,ns,3
Rust selection_sort 10000,,,,,59406042.0,ns,3
Rust selection_sort 10000,,,,,64193579.0,ns,3
Rust selection_sort 10000,,,,,65138536.0,ns,3
Rust selection_sort 10000,,,,,60223639.0,ns,3
Rust selection_sort 10000,,,,,62536781.0,ns,3
Rust selection_sort 10000,,,,,62310274.0,ns,3
Rust selection_sort 10000,,,,,61650604.0,ns,3
Rust selection_sort 10000,,,,,63626971.0,ns,3
Rust selection_sort 10000,,,,,64459231.0,ns,3
Rust selection_sort 10000,,,,,65334670.0,ns,3
Rust selection_sort 10000,,,,,63936123.0,ns,3
Rust selection_sort 10000,,,,,63810771.0,ns,3
Rust selection_sort 10000,,,,,62796264.0,ns,3
Rust selection_sort 10000,,,,,65674736.0,ns,3
Rust selection_sort 10000,,,,,60604325.0,ns,3
Rust selection_sort 10000,,,,,64513019.0,ns,3
Rust selection_sort 10000,,,,,65430699.0,ns,3
Rust selection_sort 10000,,,,,63019875.0,ns,3
Rust selection_sort 10000,,,,,65642248.0,ns,3
Rust selection_sort 10000,,,,,66214564.0,ns,3
Rust selection_sort 10000,,,,,62215021.0,ns,3
Rust selection_sort 10000,,,,,61623938.0,ns,3
Rust selection_sort 10000,,,,,62511122.0,ns,3
Rust selection_sort 10000,,,,,63295999.0,ns,3
Rust selection_sort 10000,,,,,61240694.0,ns,3
Rust selection_sort 10000,,,,,62534832.0,ns,3
Rust selection_sort 10000,,,,,63354390.0,ns,3
Rust selection_sort 10000,,,,,63280743.0,ns,3
Rust selection_sort 10000,,,,,63647818.0,ns,3
Rust selection_sort 10000,,,,,62752583.0,ns,3
Rust selection_sort 10000,,,,,61861492.0,ns,3
Rust selection_sort 10000,,,,,63073445.0,ns,3
Rust selection_sort 10000,,,,,66448735.0,ns,3
Rust selection_sort 10000,,,,,63296869.0,ns,3
Rust selection_sort 10000,,,,,66460452.0,ns,3
Rust selection_sort 10000,,,,,63301744.0,ns,3
Rust selection_sort 10000,,,,,63386763.0,ns,3
Rust selection_sort 10000,,,,,62999832.0,ns,3
Rust selection_sort 10000,,,,,67224515.0,ns,3
Rust selection_sort 10000,,,,,63504089.0,ns,3
Rust selection_sort 10000,,,,,64069702.0,ns,3
Rust selection_sort 10000,,,,,65421111.0,ns,3
Rust selection_sort 10000,,,,,63431082.0,ns,3
Rust selection_sort 10000,,,,,66214319.0,ns,3
Rust selection_sort 10000,,,,,64374078.0,ns,3
Rust selection_sort 10000,,,,,65797474.0,ns,3
Rust selection_sort 10000,,,,,61312550.0,ns,3
Rust selection_sort 10000,,,,,67120686.0,ns,3
Rust selection_sort 10000,,,,,66577085.0,ns,3
Rust selection_sort 10000,,,,,64690261.0,ns,3
Rust selection_sort 10000,,,,,65283016.0,ns,3
Rust selection_sort 10000,,,,,62808013.0,ns,3
Rust selection_sort 10000,,,,,61368996.0,ns,3
Rust selection_sort 10000,,,,,64693745.0,ns,3
Rust selection_sort 10000,,,,,60831349.0,ns,3
Rust selection_sort 10000,,,,,62816255.0,ns,3
Rust selection_sort 10000,,,,,62222857.0,ns,3
Rust selection_sort 10000,,,,,64702505.0,ns,3
Rust selection_sort 10000,,,,,62910402.0,ns,3
Rust selection_sort 10000,,,,,63206753.0,ns,3
Rust selection_sort 10000,,,,,60922386.0,ns,3
Rust selection_sort 10000,,,,,63530319.0,ns,3
