group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Selection Sort,C,10,,,606604.0,ns,3793
Selection Sort,C,10,,,1219942.0,ns,7586
Selection Sort,C,10,,,1818487.0,ns,11379
Selection Sort,C,10,,,2427007.0,ns,15172
Selection Sort,C,10,,,3096760.0,ns,18965
Selection Sort,C,10,,,3653066.0,ns,22758
Selection Sort,C,10,,,4221160.0,ns,26551
Selection Sort,C,10,,,4897513.0,ns,30344
Selection Sort,C,10,,,5544580.0,ns,34137
Selection Sort,C,10,,,6115604.0,ns,37930
Selection Sort,C,10,,,6747655.0,ns,41723
Selection Sort,C,10,,,7365251.0,ns,45516
Selection Sort,C,10,,,7983860.0,ns,49309
Selection Sort,C,10,,,8541990.0,ns,53102
Selection Sort,C,10,,,9164049.0,ns,56895
Selection Sort,C,10,,,9796262.0,ns,60688
Selection Sort,C,10,,,10490517.0,ns,64481
Selection Sort,C,10,,,11032273.0,ns,68274
Selection Sort,C,10,,,11738982.0,ns,72067
Selection Sort,C,10,,,12234377.0,ns,75860
Selection Sort,C,10,,,12864887.0,ns,79653
Selection Sort,C,10,,,13444368.0,ns,83446
Selection Sort,C,10,,,14117483.0,ns,87239
Selection Sort,C,10,,,14685266.0,ns,91032
Selection Sort,C,10,,,15254926.0,ns,94825
Selection Sort,C,10,,,15896126.0,ns,98618
Selection Sort,C,10,,,16479976.0,ns,102411
Selection Sort,C,10,,,17079242.0,ns,106204
Selection Sort,C,10,,,17793721.0,ns,109997
Selection Sort,C,10,,,18312167.0,ns,113790
Selection Sort,C,10,,,18932949.0,ns,117583
Selection Sort,C,10,,,19629844.0,ns,121376
Selection Sort,C,10,,,20221506.0,ns,125169
Selection Sort,C,10,,,20767140.0,ns,128962
Selection Sort,C,10,,,21391665.0,ns,132755
Selection Sort,C,10,,,21985604.0,ns,136548
Selection Sort,C,10,,,22602840.0,ns,140341
Selection Sort,C,10,,,23323243.0,ns,144134
Selection Sort,C,10,,,23943245.0,ns,147927
Selection Sort,C,10,,,24465511.0,ns,151720
Selection Sort,C,10,,,25018670.0,ns,155513
Selection Sort,C,10,,,25719850.0,ns,159306
Selection Sort,C,10,,,26354934.0,ns,163099
Selection Sort,C,10,,,26951772.0,ns,166892
Selection Sort,C,10,,,27474318.0,ns,170685
Selection Sort,C,10,,,28052682.0,ns,174478
Selection Sort,C,10,,,28893430.0,ns,178271
Selection Sort,C,10,,,29307367.0,ns,182064
Selection Sort,C,10,,,30047477.0,ns,185857
Selection Sort,C,10,,,30591291.0,ns,189650
Selection Sort,C,10,,,31301589.0,ns,193443
Selection Sort,C,10,,,31827043.0,ns,197236
Selection Sort,C,10,,,32454845.0,ns,201029
Selection Sort,C,10,,,33163315.0,ns,204822
Selection Sort,C,10,,,33677474.0,ns,208615
Selection Sort,C,10,,,34416032.0,ns,212408
Selection Sort,C,10,,,34808081.0,ns,216201
Selection Sort,C,10,,,35576816.0,ns,219994
Selection Sort,C,10,,,36128843.0,ns,223787
Selection Sort,C,10,,,36660120.0,ns,227580
Selection Sort,C,10,,,37227763.0,ns,231373
Selection Sort,C,10,,,37912352.0,ns,235166
Selection Sort,C,10,,,38605790.0,ns,238959
Selection Sort,C,10,,,39237321.0,ns,242752
Selection Sort,C,10,,,39754984.0,ns,246545
Selection Sort,C,10,,,40430828.0,ns,250338
Selection Sort,C,10,,,41153807.0,ns,254131
Selection Sort,C,10,,,41665261.0,ns,257924
Selection Sort,C,10,,,42202446.0,ns,261717
Selection Sort,C,10,,,42748060.0,ns,265510
Selection Sort,C,10,,,43472348.0,ns,269303
Selection Sort,C,10,,,44051233.0,ns,273096
Selection Sort,C,10,,,44751227.0,ns,276889
Selection Sort,C,10,,,45354548.0,ns,280682
Selection Sort,C,10,,,45939091.0,ns,284475
Selection Sort,C,10,,,46602200.0,ns,288268
Selection Sort,C,10,,,47217680.0,ns,292061
Selection Sort,C,10,,,47825785.0,ns,295854
Selection Sort,C,10,,,48318857.0,ns,299647
Selection Sort,C,10,,,49074617.0,ns,303440
Selection Sort,C,10,,,49599025.0,ns,307233
Selection Sort,C,10,,,50307724.0,ns,311026
Selection Sort,C,10,,,50911693.0,ns,314819
Selection Sort,C,10,,,51408155.0,ns,318612
Selection Sort,C,10,,,52095718.0,ns,322405
Selection Sort,C,10,,,52752063.0,ns,326198
Selection Sort,C,10,,,53442257.0,ns,329991
Selection Sort,C,10,,,53982918.0,ns,333784
Selection Sort,C,10,,,54668192.0,ns,337577
Selection Sort,C,10,,,55175672.0,ns,341370
Selection Sort,C,10,,,55502451.0,ns,345163
Selection Sort,C,10,,,56343469.0,ns,348956
Selection Sort,C,10,,,57079185.0,ns,352749
Selection Sort,C,10,,,57470865.0,ns,356542
Selection Sort,C,10,,,58176919.0,ns,360335
Selection Sort,C,10,,,58556828.0,ns,364128
Selection Sort,C,10,,,59316672.0,ns,367921
Selection Sort,C,10,,,60158420.0,ns,371714
Selection Sort,C,10,,,60739784.0,ns,375507
Selection Sort,C,10,,,61702069.0,ns,379300
