group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Selection Sort,C,1000,,,1023302.0,ns,3
Selection Sort,C,1000,,,2050844.0,ns,6
Selection Sort,C,1000,,,3074967.0,ns,9
Selection Sort,C,1000,,,4108932.0,ns,12
Selection Sort,C,1000,,,5146204.0,ns,15
Selection Sort,C,1000,,,6211761.0,ns,18
Selection Sort,C,1000,,,7203904.0,ns,21
Selection Sort,C,1000,,,8249548.0,ns,24
Selection Sort,C,1000,,,9240798.0,ns,27
Selection Sort,C,1000,,,10268935.0,ns,30
Selection Sort,C,1000,,,11292190.0,ns,33
Selection Sort,C,1000,,,12303966.0,ns,36
Selection Sort,C,1000,,,13373892.0,ns,39
Selection Sort,C,1000,,,14396033.0,ns,42
Selection Sort,C,1000,,,15408928.0,ns,45
Selection Sort,C,1000,,,16423152.0,ns,48
Selection Sort,C,1000,,,17453122.0,ns,51
Selection Sort,C,1000,,,18539090.0,ns,54
Selection Sort,C,1000,,,19516359.0,ns,57
Selection Sort,C,1000,,,20527547.0,ns,60
Selection Sort,C,1000,,,21589929.0,ns,63
Selection Sort,C,1000,,,22596862.0,ns,66
Selection Sort,C,1000,,,23621726.0,ns,69
Selection Sort,C,1000,,,24689916.0,ns,72
Selection Sort,C,1000,,,25708735.0,ns,75
Selection Sort,C,1000,,,26770234.0,ns,78
Selection Sort,C,1000,,,27758758.0,ns,81
Selection Sort,C,1000,,,28838992.0,ns,84
Selection Sort,C,1000,,,29805095.0,ns,87
Selection Sort,C,1000,,,30839197.0,ns,90
Selection Sort,C,1000,,,31832403.0,ns,93
Selection Sort,C,1000,,,32868809.0,ns,96
Selection Sort,C,1000,,,33889479.0,ns,99
Selection Sort,C,1000,,,34908053.0,ns,102
Selection Sort,C,1000,,,35937745.0,ns,105
Selection Sort,C,1000,,,36996452.0,ns,108
Selection Sort,C,1000,,,38011706.0,ns,111
Selection Sort,C,1000,,,39058789.0,ns,114
Selection Sort,C,1000,,,40131774.0,ns,117
Selection Sort,C,1000,,,41060382.0,ns,120
Selection Sort,C,1000,,,42171058.0,ns,123
Selection Sort,C,1000,,,43167418.0,ns,126
Selection Sort,C,1000,,,44258342.0,ns,129
Selection Sort,C,1000,,,45195975.0,ns,132
Selection Sort,C,1000,,,46215614.0,ns,135
Selection Sort,C,1000,,,47265829.0,ns,138
Selection Sort,C,1000,,,48257851.0,ns,141
Selection Sort,C,1000,,,49271699.0,ns,144
Selection Sort,C,1000,,,50363272.0,ns,147
Selection Sort,C,1000,,,51385013.0,ns,150
Selection Sort,C,1000,,,52393428.0,ns,153
Selection Sort,C,1000,,,53392415.0,ns,156
Selection Sort,C,1000,,,54530462.0,ns,159
Selection Sort,C,1000,,,55471445.0,ns,162
Selection Sort,C,1000,,,56471496.0,ns,165
Selection Sort,C,1000,,,57533398.0,ns,168
Selection Sort,C,1000,,,58515059.0,ns,171
Selection Sort,C,1000,,,59580834.0,ns,174
Selection Sort,C,1000,,,60651284.0,ns,177
Selection Sort,C,1000,,,61846250.0,ns,180
Selection Sort,C,1000,,,62698511.0,ns,183
Selection Sort,C,1000,,,63683060.0,ns,186
Selection Sort,C,1000,,,64732043.0,ns,189
Selection Sort,C,1000,,,65762773.0,ns,192
Selection Sort,C,1000,,,66734472.0,ns,195
Selection Sort,C,1000,,,67787965.0,ns,198
Selection Sort,C,1000,,,68817299.0,ns,201
Selection Sort,C,1000,,,69855922.0,ns,204
Selection Sort,C,1000,,,70904865.0,ns,207
Selection Sort,C,1000,,,72044122.0,ns,210
Selection Sort,C,1000,,,72959120.0,ns,213
Selection Sort,C,1000,,,74062138.0,ns,216
Selection Sort,C,1000,,,74977416.0,ns,219
Selection Sort,C,1000,,,76198902.0,ns,222
Selection Sort,C,1000,,,77097998.0,ns,225
Selection Sort,C,1000,,,78097333.0,ns,228
Selection Sort,C,1000,,,79155569.0,ns,231
Selection Sort,C,1000,,,80186880.0,ns,234
Selection Sort,C,1000,,,81181828.0,ns,237
Selection Sort,C,1000,,,82260723.0,ns,240
Selection Sort,C,1000,,,83265504.0,ns,243
Selection Sort,C,1000,,,84296637.0,ns,246
Selection Sort,C,1000,,,85257721.0,ns,249
Selection Sort,C,1000,,,86331091.0,ns,252
Selection Sort,C,1000,,,87383277.0,ns,255
Selection Sort,C,1000,,,89112336.0,ns,258
Selection Sort,C,1000,,,89874946.0,ns,261
Selection Sort,C,1000,,,90430396.0,ns,264
Selection Sort,C,1000,,,91476084.0,ns,267
Selection Sort,C,1000,,,92455349.0,ns,270
Selection Sort,C,1000,,,93647716.0,ns,273
Selection Sort,C,1000,,,94587218.0,ns,276
Selection Sort,C,1000,,,95797539.0,ns,279
Selection Sort,C,1000,,,97192311.0,ns,282
Selection Sort,C,1000,,,97718507.0,ns,285
Selection Sort,C,1000,,,98652479.0,ns,288
Selection Sort,C,1000,,,99622392.0,ns,291
Selection Sort,C,1000,,,100627149.0,ns,294
Selection Sort,C,1000,,,102110215.0,ns,297
Selection Sort,C,1000,,,102778708.0,ns,300
