group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Selection Sort,Rust,10,,,600903.0,ns,3962
Selection Sort,Rust,10,,,1182879.0,ns,7924
Selection Sort,Rust,10,,,1778312.0,ns,11886
Selection Sort,Rust,10,,,2379021.0,ns,15848
Selection Sort,Rust,10,,,3004773.0,ns,19810
Selection Sort,Rust,10,,,3577800.0,ns,23772
Selection Sort,Rust,10,,,4239170.0,ns,27734
Selection Sort,Rust,10,,,4856297.0,ns,31696
Selection Sort,Rust,10,,,5460256.0,ns,35658
Selection Sort,Rust,10,,,6054117.0,ns,39620
Selection Sort,Rust,10,,,6660531.0,ns,43582
Selection Sort,Rust,10,,,7239504.0,ns,47544
Selection Sort,Rust,10,,,7828943.0,ns,51506
Selection Sort,Rust,10,,,8429760.0,ns,55468
Selection Sort,Rust,10,,,9014296.0,ns,59430
Selection Sort,Rust,10,,,9604914.0,ns,63392
Selection Sort,Rust,10,,,10189269.0,ns,67354
Selection Sort,Rust,10,,,10811252.0,ns,71316
Selection Sort,Rust,10,,,11412670.0,ns,75278
Selection Sort,Rust,10,,,11998130.0,ns,79240
Selection Sort,Rust,10,,,12603376.0,ns,83202
Selection Sort,Rust,10,,,13208943.0,ns,87164
Selection Sort,Rust,10,,,13768630.0,ns,91126
Selection Sort,Rust,10,,,14416184.0,ns,95088
Selection Sort,Rust,10,,,14990943.0,ns,99050
Selection Sort,Rust,10,,,15578082.0,ns,103012
Selection Sort,Rust,10,,,16187504.0,ns,106974
Selection Sort,Rust,10,,,16766507.0,ns,110936
Selection Sort,Rust,10,,,17377022.0,ns,114898
Selection Sort,Rust,10,,,17968525.0,ns,118860
Selection Sort,Rust,10,,,18543175.0,ns,122822
Selection Sort,Rust,10,,,19147147.0,ns,126784
Selection Sort,Rust,10,,,19745756.0,ns,130746
Selection Sort,Rust,10,,,20358108.0,ns,134708
Selection Sort,Rust,10,,,20941557.0,ns,138670
Selection Sort,Rust,10,,,21562951.0,ns,142632
Selection Sort,Rust,10,,,22150814.0,ns,146594
Selection Sort,Rust,10,,,22749090.0,ns,150556
Selection Sort,Rust,10,,,23292956.0,ns,154518
Selection Sort,Rust,10,,,23828767.0,ns,158480
Selection Sort,Rust,10,,,24487748.0,ns,162442
Selection Sort,Rust,10,,,25073657.0,ns,166404
Selection Sort,Rust,10,,,25694864.0,ns,170366
Selection Sort,Rust,10,,,26329522.0,ns,174328
Selection Sort,Rust,10,,,26922908.0,ns,178290
Selection Sort,Rust,10,,,27477274.0,ns,182252
Selection Sort,Rust,10,,,28034841.0,ns,186214
Selection Sort,Rust,10,,,28681579.0,ns,190176
Selection Sort,Rust,10,,,29274166.0,ns,194138
Selection Sort,Rust,10,,,29886675.0,ns,198100
Selection Sort,Rust,10,,,30491669.0,ns,202062
Selection Sort,Rust,10,,,31054949.0,ns,206024
Selection Sort,Rust,10,,,31666633.0,ns,209986
Selection Sort,Rust,10,,,32268329.0,ns,213948
Selection Sort,Rust,10,,,32885930.0,ns,217910
Selection Sort,Rust,10,,,33482153.0,ns,221872
Selection Sort,Rust,10,,,34015457.0,ns,225834
Selection Sort,Rust,10,,,34596018.0,ns,229796
Selection Sort,Rust,10,,,35198531.0,ns,233758
Selection Sort,Rust,10,,,35829990.0,ns,237720
Selection Sort,Rust,10,,,36446673.0,ns,241682
Selection Sort,Rust,10,,,37070048.0,ns,245644
Selection Sort,Rust,10,,,37625574.0,ns,249606
Selection Sort,Rust,10,,,38215211.0,ns,253568
Selection Sort,Rust,10,,,38781566.0,ns,257530
Selection Sort,Rust,10,,,39373501.0,ns,261492
Selection Sort,Rust,10,,,39953340.0,ns,265454
Selection Sort,Rust,10,,,40601219.0,ns,269416
Selection Sort,Rust,10,,,41140845.0,ns,273378
Selection Sort,Rust,10,,,41755791.0,ns,277340
Selection Sort,Rust,10,,,42304883.0,ns,281302
Selection Sort,Rust,10,,,42938943.0,ns,285264
Selection Sort,Rust,10,,,43531531.0,ns,289226
Selection Sort,Rust,10,,,44165058.0,ns,293188
Selection Sort,Rust,10,,,44790367.0,ns,297150
Selection Sort,Rust,10,,,45281856.0,ns,301112
Selection Sort,Rust,10,,,45974460.0,ns,305074
Selection Sort,Rust,10,,,46604124.0,ns,309036
Selection Sort,Rust,10,,,47153383.0,ns,312998
Selection Sort,Rust,10,,,47640590.0,ns,316960
Selection Sort,Rust,10,,,48460197.0,ns,320922
Selection Sort,Rust,10,,,48984826.0,ns,324884
Selection Sort,Rust,10,,,49540999.0,ns,328846
Selection Sort,Rust,10,,,50223203.0,ns,332808
Selection Sort,Rust,10,,,50741937.0,ns,336770
Selection Sort,Rust,10,,,51289946.0,ns,340732
Selection Sort,Rust,10,,,51989704.0,ns,344694
Selection Sort,Rust,10,,,52562022.0,ns,348656
Selection Sort,Rust,10,,,53043779.0,ns,352618
Selection Sort,Rust,10,,,53662279.0,ns,356580
Selection Sort,Rust,10,,,54405335.0,ns,360542
Selection Sort,Rust,10,,,54818041.0,ns,364504
Selection Sort,Rust,10,,,55433435.0,ns,368466
Selection Sort,Rust,10,,,56078123.0,ns,372428
Selection Sort,Rust,10,,,56668796.0,ns,376390
Selection Sort,Rust,10,,,57289704.0,ns,380352
Selection Sort,Rust,10,,,57813991.0,ns,384314
Selection Sort,Rust,10,,,58408753.0,ns,388276
Selection Sort,Rust,10,,,59005980.0,ns,392238
Selection Sort,Rust,10,,,59718344.0,ns,396200
