group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Selection Sort,Rust,100,,,910424.0,ns,150
Selection Sort,Rust,100,,,1833665.0,ns,300
Selection Sort,Rust,100,,,2759509.0,ns,450
Selection Sort,Rust,100,,,3648091.0,ns,600
Selection Sort,Rust,100,,,4578956.0,ns,750
Selection Sort,Rust,100,,,5442420.0,ns,900
Selection Sort,Rust,100,,,6393935.0,ns,1050
Selection Sort,Rust,100,,,7321226.0,ns,1200
Selection Sort,Rust,100,,,8208869.0,ns,1350
Selection Sort,Rust,100,,,9136187.0,ns,1500
Selection Sort,Rust,100,,,10102890.0,ns,1650
Selection Sort,Rust,100,,,10962945.0,ns,1800
Selection Sort,Rust,100,,,11874793.0,ns,1950
Selection Sort,Rust,100,,,12825202.0,ns,2100
Selection Sort,Rust,100,,,13798281.0,ns,2250
Selection Sort,Rust,100,,,14592128.0,ns,2400
Selection Sort,Rust,100,,,15641045.0,ns,2550
Selection Sort,Rust,100,,,16374510.0,ns,2700
Selection Sort,Rust,100,,,17388568.0,ns,2850
Selection Sort,Rust,100,,,18292541.0,ns,3000
Selection Sort,Rust,100,,,19234377.0,ns,3150
Selection Sort,Rust,100,,,20071163.0,ns,3300
Selection Sort,Rust,100,,,21011396.0,ns,3450
Selection Sort,Rust,100,,,21926647.0,ns,3600
Selection Sort,Rust,100,,,22825801.0,ns,3750
Selection Sort,Rust,100,,,23742755.0,ns,3900
Selection Sort,Rust,100,,,24632110.0,ns,4050
Selection Sort,Rust,100,,,25633248.0,ns,4200
Selection Sort,Rust,100,,,26492495.0,ns,4350
Selection Sort,Rust,100,,,27550102.0,ns,4500
Selection Sort,Rust,100,,,28319982.0,ns,4650
Selection Sort,Rust,100,,,29144917.0,ns,4800
Selection Sort,Rust,100,,,30116545.0,ns,4950
Selection Sort,Rust,100,,,31137061.0,ns,5100
Selection Sort,Rust,100,,,32074424.0,ns,5250
Selection Sort,Rust,100,,,32819429.0,ns,5400
Selection Sort,Rust,100,,,33882928.0,ns,5550
Selection Sort,Rust,100,,,34821202.0,ns,5700
Selection Sort,Rust,100,,,35639936.0,ns,5850
Selection Sort,Rust,100,,,36641643.0,ns,6000
Selection Sort,Rust,100,,,37469869.0,ns,6150
Selection Sort,Rust,100,,,38549508.0,ns,6300
Selection Sort,Rust,100,,,39470729.0,ns,6450
Selection Sort,Rust,100,,,40198866.0,ns,6600
Selection Sort,Rust,100,,,41113185.0,ns,6750
Selection Sort,Rust,100,,,42124650.0,ns,6900
Selection Sort,Rust,100,,,42985687.0,ns,7050
Selection Sort,Rust,100,,,43959234.0,ns,7200
Selection Sort,Rust,100,,,44926407.0,ns,7350
Selection Sort,Rust,100,,,45799558.0,ns,7500
Selection Sort,Rust,100,,,46613338.0,ns,7650
Selection Sort,Rust,100,,,47565315.0,ns,7800
Selection Sort,Rust,100,,,48570546.0,ns,7950
Selection Sort,Rust,100,,,49477077.0,ns,8100
Selection Sort,Rust,100,,,50507591.0,ns,8250
Selection Sort,Rust,100,,,51259447.0,ns,8400
Selection Sort,Rust,100,,,52362682.0,ns,8550
Selection Sort,Rust,100,,,53116064.0,ns,8700
Selection Sort,Rust,100,,,54092229.0,ns,8850
Selection Sort,Rust,100,,,55009645.0,ns,9000
Selection Sort,Rust,100,,,55952101.0,ns,9150
Selection Sort,Rust,100,,,56818274.0,ns,9300
Selection Sort,Rust,100,,,57814999.0,ns,9450
Selection Sort,Rust,100,,,58636642.0,ns,9600
Selection Sort,Rust,100,,,59662504.0,ns,9750
Selection Sort,Rust,100,,,60421260.0,ns,9900
Selection Sort,Rust,100,,,61416436.0,ns,10050
Selection Sort,Rust,100,,,62316313.0,ns,10200
Selection Sort,Rust,100,,,63141428.0,ns,10350
Selection Sort,Rust,100,,,64138257.0,ns,10500
Selection Sort,Rust,100,,,65053728.0,ns,10650
Selection Sort,Rust,100,,,65890646.0,ns,10800
Selection Sort,Rust,100,,,66817487.0,ns,10950
Selection Sort,Rust,100,,,67859200.0,ns,11100
Selection Sort,Rust,100,,,68650086.0,ns,11250
Selection Sort,Rust,100,,,69728219.0,ns,11400
Selection Sort,Rust,100,,,70568998.0,ns,11550
Selection Sort,Rust,100,,,71439113.0,ns,11700
Selection Sort,Rust,100,,,72412954.0,ns,11850
Selection Sort,Rust,100,,,73409997.0,ns,12000
Selection Sort,Rust,100,,,74450301.0,ns,12150
Selection Sort,Rust,100,,,75133565.0,ns,12300
Selection Sort,Rust,100,,,76002953.0,ns,12450
Selection Sort,Rust,100,,,76858863.0,ns,12600
Selection Sort,Rust,100,,,77996916.0,ns,12750
Selection Sort,Rust,100,,,78905731.0,ns,12900
Selection Sort,Rust,100,,,79512227.0,ns,13050
Selection Sort,Rust,100,,,80499023.0,ns,13200
Selection Sort,Rust,100,,,81535588.0,ns,13350
Selection Sort,Rust,100,,,82415982.0,ns,13500
Selection Sort,Rust,100,,,83272376.0,ns,13650
Selection Sort,Rust,100,,,84216760.0,ns,13800
Selection Sort,Rust,100,,,85092054.0,ns,13950
Selection Sort,Rust,100,,,86045575.0,ns,14100
Selection Sort,Rust,100,,,86914195.0,ns,14250
Selection Sort,Rust,100,,,87817073.0,ns,14400
Selection Sort,Rust,100,,,89006226.0,ns,14550
Selection Sort,Rust,100,,,89538627.0,ns,14700
Selection Sort,Rust,100,,,90449607.0,ns,14850
Selection Sort,Rust,100,,,91554949.0,ns,15000
